,title,artist,lyrics,sentiment
0,Right Back At It Again,A Day To Remember,"We’re coming out swinging!

Started out in the spring of 2003
Never went to school, nobody talked to me
Except to tell me all the things I couldn’t do
Don’t want to hear about it
Got with my guys packed into all our cars
Hit all the nearest scenes and every local bar
Played a show a night till it’d make me sick

So here I am
I’m right back at it again
Just like I’ve always said
""If you’re too cool for school
I ain’t here to make no friends""
And I’ll say hey! (Hey)!
I’m right back at it again
Just like I’ve always said
""If you’re too cool for school
I ain’t here to make no friends""

We left home with no kinda back up plan
And everyone we knew that we couldn’t stand
Said if you can’t make it here, you won’t make it there
Don’t want to hear about it
Spent most of our time sleeping on hard wood floors
People’s living rooms in any open door
We played a show a night till it all made sense

So here I am
I’m right back at it again
Just like I’ve always said
""If you’re too cool for school
I ain’t here to make no friends""
And I’ll say hey! (Hey)!
I’m right back at it again
Just like I’ve always said
""If you’re too cool for school
I ain’t here to make no friends""

Don’t wanna hear about it
Don’t wanna hear about it yet

So here I am
I’m right back at it again
Just like I’ve always said
""If you’re too cool for school
I ain’t here to make no friends""
And I’ll say hey!
I’m right back at it again
Just like I’ve always said
""If you’re too cool for school
I ain’t here to make no…"" (Brace for impact!)

Don’t wanna hear about it
Don’t wanna hear about it, bitch


",4
1,"Sometimes You're The Hammer, Sometimes You're The Nail",A Day To Remember,"You wanna take, take, take, take, take it away from me
Take it away from me
You can’t wait, wait, wait, wait, wait till I’m stumbling
Go get carried away

Go!

And the fears sets in, in an instant
Too much of myself gets exposed
This is where I go at my weakest
When I don’t have to be scared to tell the truth

Tend to do my best when everything goes wrong
That’s why sad songs make me happy, ’cause I don’t have to feel alone

You wanna take, take, take, take, take it away from me
Take it away from me
You can’t wait, wait, wait, wait, wait till I’m stumbling
No, you’ve got me wrong
Oh the nights are long with no one else around
You wanna take, take, take, take, take it away from me
Go get carried away

It’s never what you’ve done, it’s what you’ve done lately
Who cares what you’re saying, if no one’s listening
You don’t have to like me, but you’re gonna respect me
I that came from nothing, leave hope in my wake

I got no regrets, but have my days with doubt
To those left in sadness I’ll be the one to lead you out

You wanna take, take, take, take, take it away from me
Take it away from me
You can’t wait, wait, wait, wait, wait till I’m stumbling
No, you’ve got me wrong
Oh the nights are long with no one else around
You wanna take, take, take, take, take it away from me
Go get carried away

I reserve my right to feel uncomfortable reserve, my right to be afraid
I make mistakes and I am humbled every step of the way
I want to be a better person, I wanna know the master plan
Cast your stones, cast your judgement, you don’t make me who I am

I reserve my right to feel uncomfortable reserve, my right to be afraid
I make mistakes and I am humbled every step of the way
I want to be a better person, I wanna know the master plan
Cast your stones, cast your judgement, you don’t make me who I am

God help those who help themselves, and forget about everyone else
You lost your nerve, you missed the point
God help those with open hands, may they never feel burden again
Yeah I’ll stand up for those who can’t
I’ll close the distance


",3
2,The Document Speaks For Itself,A Day To Remember,"You’re all about you, and it’s my fast track to an early grave.
Just need to see this through
Do you even sleep at night?
Where does your conscience run to hide?

I gotta get out, I gotta get out.
Why can’t you just do what’s right by me?
I gotta get out, I gotta get out.
It can’t get much harder, harder to breathe.

The room keeps spinning faster, I’m drifting off to sleep.
Hope it’s seen beyond these walls you’re suffocating me.
Why can’t you see what three little words have done to me?
I never knew I was alone, you turned your back, you broke this home.
Took me so long to find the answers, and your reasons why.
I just wanted things to be alright, or at least for just tonight.

How’s living a lie?
You never could face me,
And you hide behind fake personalities
Because deep down you’re scared.
So weak beyond compare.

I gotta get out, I gotta get out.
Why can’t we just go our separate ways?
I gotta get out, I gotta get out.
It won’t be much farther, I’m counting the days.

The room keeps spinning faster, I’m drifting off to sleep.
Hope it’s seen beyond these walls, you’re suffocating me.
Why can’t you see what three little words have done to me?
I never knew I was alone, you turned your back, you broke this home.
Took me so long to find the answers, and your reasons why.
I just wanted things to be alright, or at least for just tonight.

My friends still stand behind me.
We stuck together through all we lost.
Even when your worst surrounds me, you’ll never get the best of us.

Why can’t you see what three little words have done to me?
I never knew I was alone, you turned your back, you broke this home.
Took me so long to find the answers, and your reasons why.
I just wanted things to be alright, or at least for just tonight

No fucking respect.

All hail the thief forever trying to separate you and me.
All hail the thief forever trying to separate
No fucking respect.


",2
3,I Ran (So Far Away),A Flock of Seagulls,"I walk along the avenue
I never thought I’d meet a girl like you
Meet a girl like you

With auburn hair and tawny eyes
The kind of eyes that hypnotize me through
You hypnotize me through

And I ran
I ran so far away
I just ran
I ran all night and day
I couldn’t get away

A cloud appears above your head
A beam of light comes shining down on you
Shining down on you

The cloud is moving nearer still
Aurora Borealis comes in view
Aurora comes in view

And I ran
I ran so far away
I just ran
I ran all night and day
I couldn’t get away

Reached out a hand to touch your face
You’re slowly disappearing from my view
Disappearing from my view

Reached out a hand to try again
I’m floating in a beam of light with you
A beam of light with you

And I ran
I ran so far away
I just ran
I ran all night and day

And I ran
I ran so far away
I just ran
I couldn’t get away


",4
4,Passive,A Perfect Circle,"Dead as dead can be
The doctor tells me
But I just can’t believe him
Ever the optimistic one
I’m sure of your ability to become
My perfect enemy

Wake up
And face me
Don’t play dead
’Cause maybe
Someday
I’ll walk away and say
“You disappoint me”
Maybe you’re better off this way

Leaning over you here
Cold and catatonic
I catch a brief reflection
What you could and might have been
It’s your right and your ability
To become my perfect enemy

Wake up (why can’t you)
And face me (come on now)
Don’t play dead (don’t play dead)
’Cause maybe (because maybe)
Someday (someday)
I’ll walk away and say
“You disappoint me”
Maybe you’re better off this way

Maybe you’re better off this way
Maybe you’re better off this way
Maybe you’re better off this way
You’re better off this
You’re better off this
Maybe you’re better off

Wake up (why can’t you)
And face me (come on now)
Don’t play dead (don’t play dead)
’Cause maybe (because maybe)
Someday (someday)
I’ll walk away and say
“You fucking disappoint me”
Maybe you’re better off this way

Go ahead and play dead (go)
I know that you can hear this (go)
Go ahead and play dead (go)
Why can’t you turn and face me
Why can’t you turn and face me
Why can’t you turn and face me
Why can’t you turn and face me
You fucking disappoint me

Passive-aggressive bullshit
Passive-aggressive bullshit
Passive-aggressive bullshit
Passive-aggressive bullshit
Passive-aggressive bullshit
Passive-aggressive bullshit
Passive-aggressive bullshit
Passive-aggressive bullshit
Passive-aggressive bullshit
Passive-aggressive bullshit
Passive-aggressive bullshit
Passive-aggressive bullshit


",2
5,Magdalena,A Perfect Circle,"Overcome by your moving temple
Overcome by this holiest of altars
So pure, so rare,
To witness such an unearthly goddess
That I’ve lost my self-control
Beyond compelled to throw this dollar
Down before your
Holiest of altars

I’d sell my soul, my self-esteem
A dollar at a time
For one chance, one kiss,
One taste of you, my Magdalena

I bear witness to this place,
This prayer, so long forgotten
So pure, so rare
To witness such an unearthly goddess

That I’d sell my soul, my self-esteem
A dollar at a time
For one chance, one kiss,
One taste of you, my black Madonna

I’d sell my soul, my self-esteem
A dollar at a time
For one taste, one taste,
One taste of you, my Magdalena


",3
6,The Hollow,A Perfect Circle,"Run, desire, run
Sexual being
Running like a blade
To and through the heart, no conscience
One Motive: cater to the hollow

Screaming
“Feed me here, fill me up again”
Temporarily pacify this hunger
That’s so cruel

Libido
Throw dominoes of indiscretions down
Falling all around in cycles,
In circles
Constantly consuming,
Conquer and devour

Cause it’s time to bring the fire down
Bridle all this indiscretion
Long enough to edify
And permanently fill this hollow

Screaming
“Feed me here, fill me up again”
Temporarily pacifying

Feed me here, fill me up again
Temporarily pacifying


",2
7,Mambo Witch,A Split-Second,"A startling sense of dislocation
Pushed away by voodoo crap
Spill your poison somewhere else
Can’t shake the needles from your back

Guns and chains, emotional drains
Cutting it down to size
Captured by the hindu curse
that holds your mesmerized

Slice my throat, stiletto knife
to keep my burning hope alive
The long black hair that smells like incense
turns to vipers in my mind

You foul the pyramids with your presence
Holding in your tiny claws
The snakes that feed the witch with venom
Too late, no time to withdraw

Mambo witch
Mambo witch

Sound of torture and moral exhaustion
Barely concealed by telephone wires

Heal the wounds and lick the scars
Screw up your eyes to read your stars
She is fire, I am ice
Bound to burn at any price

I want to kill you…

Mambo witch
Mambo witch

I want to kill you…

Mambo witch
Mambo witch

Mambo witch
Mambo witch


",2
8,Flesh,A Split-Second,"This is when your flesh
Crimson and pale
Withers behind the blackened veil

The vacant flesh
A petrifying look
The choice is easy
The outcome always the same

The shortest way to cardiac arrest

The flish that dreams are made of
Doesn’t last

This is when you turn
To sanctimonious rituals

The duty of the beast

The duty of the beast

The duty of the beast


",3
9,Into the Burning Hole,A Split-Second,"(Time after time, after time, after time, after time)
(Time after time, after time, after time, after time)
(Time after time, after time, after time, after time)
(Time after time, after time, after time, after time)

Petrified defender with a shotgun in his hands
You have to kill illusions when they no longer stand a chance
Pale blue faces in the snow
Where did all the feelings go?

Into the Burning Hole
Into the Burning Hole

To hate is such a simple act, why can’t we make it last
Losing all control again, it happened far too fast
Fill my heart with solitude and weeping acid rain
The feelings I have killed for you I’ll never feel again

Into the Burning Hole
Into the Burning Hole

(Time after time, after time, after time, after time)
(Time after time, after time, after time, after time)
(Time after time, after time, after time, after time)
(Time after time, after time, after time, after time)

(Into the Burning Hole)
(Into the Burning Hole)

Passion is a fire, it’s a fire that burns you out
But spinning in this tidal wave,
There is no room for doubt, so we go back

Into the Burning Hole
Into the Burning Hole
Into the Burning Hole
Into the Burning Hole

(Time after time, after time, after time, after time)
(Time after time, after time, after time, after time)
(Time after time, after time, after time, after time)
(Time after time, after time, after time, after time)

Into the Burning Hole
Into the Burning Hole
Into the Burning Hole
Into the Burning Hole


",1
